ingredient,calories,saturatedfat,monounsatruatedfat,polyunsaturatedfat,protein,fiber,carbohydrates,stock
BUTTER WITH SALT,717,3.043,215.0,5.0,0.85,0.0,0.06,0
BUTTER WITH SALT,717,3.043,215.0,5.0,0.85,0.0,0.06,0
